Fichier,Type,Taille (Ko),Nœuds,Arêtes,Densité,Est dirigé
erdos_1000_p0.01.gpickle.gz,Graph,42.1474609375,1000,4963,0.009935935935935936,False
erdos_1000_p0.05.gpickle.gz,Graph,179.8740234375,1000,24977,0.050004004004004,False
erdos_1000_p0.1.gpickle.gz,Graph,349.072265625,1000,49729,0.09955755755755756,False
watts_1000_k4_p0.1.gpickle.gz,Graph,19.283203125,1000,2000,0.004004004004004004,False
watts_1000_k4_p0.3.gpickle.gz,Graph,20.4619140625,1000,2000,0.004004004004004004,False
watts_1000_k6_p0.1.gpickle.gz,Graph,25.5107421875,1000,3000,0.006006006006006006,False
watts_1000_k6_p0.3.gpickle.gz,Graph,27.7744140625,1000,3000,0.006006006006006006,False
watts_1000_k8_p0.1.gpickle.gz,Graph,31.2080078125,1000,4000,0.008008008008008008,False
watts_1000_k8_p0.3.gpickle.gz,Graph,34.615234375,1000,4000,0.008008008008008008,False
scalefree_1000_m2.gpickle.gz,Graph,19.4189453125,1000,1996,0.003995995995995996,False
scalefree_1000_m3.gpickle.gz,Graph,26.5517578125,1000,2991,0.005987987987987988,False
scalefree_1000_m4.gpickle.gz,Graph,33.357421875,1000,3984,0.007975975975975975,False
erdos_5000_p0.01.gpickle.gz,Graph,1117.7685546875,5000,125490,0.01004120824164833,False
erdos_5000_p0.05.gpickle.gz,Graph,5435.740234375,5000,624389,0.04996111222244449,False
erdos_5000_p0.1.gpickle.gz,Graph,10566.912109375,5000,1248904,0.09993230646129225,False
watts_5000_k4_p0.1.gpickle.gz,Graph,99.1689453125,5000,10000,0.0008001600320064013,False
watts_5000_k4_p0.3.gpickle.gz,Graph,108.0048828125,5000,10000,0.0008001600320064013,False
watts_5000_k6_p0.1.gpickle.gz,Graph,135.1552734375,5000,15000,0.001200240048009602,False
watts_5000_k6_p0.3.gpickle.gz,Graph,149.3544921875,5000,15000,0.001200240048009602,False
watts_5000_k8_p0.1.gpickle.gz,Graph,168.5048828125,5000,20000,0.0016003200640128026,False
watts_5000_k8_p0.3.gpickle.gz,Graph,190.3671875,5000,20000,0.0016003200640128026,False
scalefree_5000_m2.gpickle.gz,Graph,103.3369140625,5000,9996,0.0007998399679935987,False
scalefree_5000_m3.gpickle.gz,Graph,144.2998046875,5000,14991,0.001199519903980796,False
scalefree_5000_m4.gpickle.gz,Graph,184.9462890625,5000,19984,0.0015990398079615924,False
erdos_10000_p0.01.gpickle.gz,Graph,4762.349609375,10000,499539,0.009991779177917793,False
erdos_10000_p0.05.gpickle.gz,Graph,23136.4033203125,10000,2499803,0.0500010601060106,False
erdos_10000_p0.1.gpickle.gz,Graph,45149.1376953125,10000,4997263,0.09995525552555255,False
watts_10000_k4_p0.1.gpickle.gz,Graph,197.8349609375,10000,20000,0.00040004000400040005,False
watts_10000_k4_p0.3.gpickle.gz,Graph,217.11328125,10000,20000,0.00040004000400040005,False
watts_10000_k6_p0.1.gpickle.gz,Graph,271.939453125,10000,30000,0.0006000600060006001,False
watts_10000_k6_p0.3.gpickle.gz,Graph,305.0068359375,10000,30000,0.0006000600060006001,False
watts_10000_k8_p0.1.gpickle.gz,Graph,340.3759765625,10000,40000,0.0008000800080008001,False
watts_10000_k8_p0.3.gpickle.gz,Graph,392.1572265625,10000,40000,0.0008000800080008001,False
scalefree_10000_m2.gpickle.gz,Graph,210.3916015625,10000,19996,0.0003999599959996,False
scalefree_10000_m3.gpickle.gz,Graph,300.4462890625,10000,29991,0.0005998799879987998,False
scalefree_10000_m4.gpickle.gz,Graph,387.5029296875,10000,39984,0.0007997599759975997,False
erdos_1000_p0.01.pickle.gz,Graph,42.146484375,1000,4963,0.009935935935935936,False
erdos_1000_p0.05.pickle.gz,Graph,179.873046875,1000,24977,0.050004004004004,False
erdos_1000_p0.1.pickle.gz,Graph,349.0712890625,1000,49729,0.09955755755755756,False
watts_1000_k4_p0.1.pickle.gz,Graph,19.2822265625,1000,2000,0.004004004004004004,False
watts_1000_k4_p0.3.pickle.gz,Graph,20.4609375,1000,2000,0.004004004004004004,False
watts_1000_k6_p0.1.pickle.gz,Graph,25.509765625,1000,3000,0.006006006006006006,False
watts_1000_k6_p0.3.pickle.gz,Graph,27.7734375,1000,3000,0.006006006006006006,False
watts_1000_k8_p0.1.pickle.gz,Graph,31.20703125,1000,4000,0.008008008008008008,False
watts_1000_k8_p0.3.pickle.gz,Graph,34.6142578125,1000,4000,0.008008008008008008,False
scalefree_1000_m2.pickle.gz,Graph,19.41796875,1000,1996,0.003995995995995996,False
scalefree_1000_m3.pickle.gz,Graph,26.55078125,1000,2991,0.005987987987987988,False
scalefree_1000_m4.pickle.gz,Graph,33.3564453125,1000,3984,0.007975975975975975,False
erdos_5000_p0.01.pickle.gz,Graph,1117.767578125,5000,125490,0.01004120824164833,False
erdos_5000_p0.05.pickle.gz,Graph,5435.7392578125,5000,624389,0.04996111222244449,False
erdos_5000_p0.1.pickle.gz,Graph,10566.9111328125,5000,1248904,0.09993230646129225,False
watts_5000_k4_p0.1.pickle.gz,Graph,99.16796875,5000,10000,0.0008001600320064013,False
watts_5000_k4_p0.3.pickle.gz,Graph,108.00390625,5000,10000,0.0008001600320064013,False
watts_5000_k6_p0.1.pickle.gz,Graph,135.154296875,5000,15000,0.001200240048009602,False
watts_5000_k6_p0.3.pickle.gz,Graph,149.353515625,5000,15000,0.001200240048009602,False
watts_5000_k8_p0.1.pickle.gz,Graph,168.50390625,5000,20000,0.0016003200640128026,False
watts_5000_k8_p0.3.pickle.gz,Graph,190.3662109375,5000,20000,0.0016003200640128026,False
scalefree_5000_m2.pickle.gz,Graph,103.3359375,5000,9996,0.0007998399679935987,False
scalefree_5000_m3.pickle.gz,Graph,144.298828125,5000,14991,0.001199519903980796,False
scalefree_5000_m4.pickle.gz,Graph,184.9453125,5000,19984,0.0015990398079615924,False
erdos_10000_p0.01.pickle.gz,Graph,4762.3486328125,10000,499539,0.009991779177917793,False
erdos_10000_p0.05.pickle.gz,Graph,23136.40234375,10000,2499803,0.0500010601060106,False
erdos_10000_p0.1.pickle.gz,Graph,45149.13671875,10000,4997263,0.09995525552555255,False
watts_10000_k4_p0.1.pickle.gz,Graph,197.833984375,10000,20000,0.00040004000400040005,False
watts_10000_k4_p0.3.pickle.gz,Graph,217.1123046875,10000,20000,0.00040004000400040005,False
watts_10000_k6_p0.1.pickle.gz,Graph,271.9384765625,10000,30000,0.0006000600060006001,False
watts_10000_k6_p0.3.pickle.gz,Graph,305.005859375,10000,30000,0.0006000600060006001,False
watts_10000_k8_p0.1.pickle.gz,Graph,340.375,10000,40000,0.0008000800080008001,False
watts_10000_k8_p0.3.pickle.gz,Graph,392.15625,10000,40000,0.0008000800080008001,False
scalefree_10000_m2.pickle.gz,Graph,210.390625,10000,19996,0.0003999599959996,False
scalefree_10000_m3.pickle.gz,Graph,300.4453125,10000,29991,0.0005998799879987998,False
scalefree_10000_m4.pickle.gz,Graph,387.501953125,10000,39984,0.0007997599759975997,False
